win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,166,33.2,70,96,0,6,0.28313253012048195,0.0,0,0.0,0,0.0,0.0,0.0,59.475903614457835,6.864174330807896
1,5.0,10.0,162,32.4,70,92,0,6,0.2839506172839506,0.0,0,0.0,0,0.0,0.0,0.0,59.67283950617284,6.996322002797922
2,10.0,15.0,162,32.4,70,92,0,6,0.2839506172839506,0.0,0,0.0,0,0.0,0.0,0.0,59.67283950617284,6.996322002797922
3,15.0,20.0,158,31.6,66,92,0,6,0.2911392405063291,0.0,0,0.0,0,0.0,0.0,0.0,59.550632911392405,6.910409931560363
4,20.0,25.0,160,32.0,68,92,0,6,0.2875,0.0,0,0.0,0,0.0,0.0,0.0,59.6125,6.954303973080278
5,25.0,30.0,168,33.6,72,96,0,6,0.27380952380952384,0.0,0,0.0,0,0.0,0.0,0.0,59.42857142857143,6.837024057233069
6,30.0,35.0,164,32.8,70,94,0,6,0.2804878048780488,0.0,0,0.0,0,0.0,0.0,0.0,59.51829268292683,6.895095960505589
7,35.0,40.0,166,33.2,70,96,0,6,0.27710843373493976,0.0,0,0.0,0,0.0,0.0,0.0,59.36746987951807,6.791465381802762
8,40.0,45.0,172,34.4,74,98,0,6,0.27325581395348836,0.0,0,0.0,0,0.0,0.0,0.0,59.44767441860465,6.85078889947424
9,45.0,50.0,164,32.8,68,96,0,6,0.2804878048780488,0.0,0,0.0,0,0.0,0.0,0.0,59.30487804878049,6.743902439024397
10,50.0,55.0,164,32.8,70,94,0,6,0.2804878048780488,0.0,0,0.0,0,0.0,0.0,0.0,59.51829268292683,6.89509596050559
11,55.0,60.0,174,34.8,76,98,0,6,0.26436781609195403,0.0,0,0.0,0,0.0,0.0,0.0,59.40229885057471,6.824499089217772
12,60.0,65.0,2,0.4,0,2,0,2,0.5,0.0,0,0.0,0,0.0,0.0,0.0,56.0,0.0
