win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,82,16.4,78,4,0,4,0.3170731707317073,0.0,0,0.0,0,0.0,0.0,0.0,63.646341463414636,8.482941205334312
1,5.0,10.0,76,15.2,72,4,0,4,0.32894736842105265,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554
2,10.0,15.0,74,14.8,72,2,0,4,0.33783783783783783,0.0,0,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890424
3,15.0,20.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
4,20.0,25.0,72,14.4,70,2,0,4,0.3472222222222222,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
5,25.0,30.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
6,30.0,35.0,70,14.0,70,0,0,4,0.35714285714285715,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
7,35.0,40.0,78,15.6,72,6,0,4,0.2948717948717949,0.0,0,0.0,0,0.0,0.0,0.0,63.15384615384615,8.433870850018563
8,40.0,45.0,76,15.2,72,4,0,4,0.3157894736842105,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554
9,45.0,50.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
10,50.0,55.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
11,55.0,60.0,76,15.2,72,4,0,4,0.32894736842105265,0.0,0,0.0,0,0.0,0.0,0.0,63.578947368421055,8.477932900205554
12,60.0,65.0,2,0.4,2,0,0,2,0.5,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
