win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,716,143.2,714,2,0,6,0.44972067039106145,0.0,1,0.0,0,0.0,0.0,0.0,64.07402234636872,8.512977016031375
1,5.0,10.0,716,143.2,714,2,0,6,0.44972067039106145,0.0,1,0.0,0,0.0,0.0,0.0,64.07402234636872,8.512977016031375
2,10.0,15.0,716,143.2,716,0,0,6,0.44972067039106145,0.0,0,0.0,0,0.0,0.0,0.0,64.09776536312849,8.51413189548838
3,15.0,20.0,720,144.0,716,4,0,6,0.4486111111111111,0.0,1,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304
4,20.0,25.0,708,141.6,708,0,0,6,0.4519774011299435,0.0,0,0.0,0,0.0,0.0,0.0,64.11864406779661,8.513866547296647
5,25.0,30.0,716,143.2,714,2,0,6,0.44972067039106145,0.0,1,0.0,0,0.0,0.0,0.0,64.04888268156425,8.513158489461038
6,30.0,35.0,720,144.0,716,4,0,6,0.44583333333333336,0.0,1,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304
7,35.0,40.0,712,142.4,710,2,0,6,0.45224719101123595,0.0,1,0.0,0,0.0,0.0,0.0,64.07162921348315,8.512989654127452
8,40.0,45.0,728,145.6,722,6,0,6,0.4423076923076923,0.0,1,0.0,0,0.0,0.0,0.0,63.96016483516483,8.510485192666053
9,45.0,50.0,714,142.8,712,2,0,6,0.4495798319327731,0.0,1,0.0,0,0.0,0.0,0.0,64.07282913165267,8.512983401474024
10,50.0,55.0,708,141.6,708,0,0,6,0.4519774011299435,0.0,0,0.0,0,0.0,0.0,0.0,64.11864406779661,8.513866547296647
11,55.0,60.0,722,144.4,716,6,0,6,0.4445983379501385,0.0,1,0.0,0,0.0,0.0,0.0,63.95567867036011,8.510428808269618
12,60.0,65.0,18,3.6,18,0,0,6,0.3888888888888889,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
