win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,78,15.6,74,4,0,4,0.32051282051282054,0.0,0,0.0,0,0.0,0.0,0.0,63.6025641025641,8.479749245793288
1,5.0,10.0,82,16.4,76,6,0,4,0.3048780487804878,0.0,0,0.0,0,0.0,0.0,0.0,63.21951219512195,8.442090236838533
2,10.0,15.0,82,16.4,76,6,0,4,0.2926829268292683,0.0,0,0.0,0,0.0,0.0,0.0,63.21951219512195,8.442090236838533
3,15.0,20.0,78,15.6,72,6,0,4,0.3076923076923077,0.0,0,0.0,0,0.0,0.0,0.0,63.15384615384615,8.433870850018561
4,20.0,25.0,72,14.4,70,2,0,4,0.3333333333333333,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
5,25.0,30.0,76,15.2,76,0,0,4,0.35526315789473684,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
6,30.0,35.0,70,14.0,68,2,0,4,0.32857142857142857,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
7,35.0,40.0,74,14.8,72,2,0,4,0.33783783783783783,0.0,0,0.0,0,0.0,0.0,0.0,64.02702702702703,8.501149322890425
8,40.0,45.0,64,12.8,64,0,0,4,0.359375,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
9,45.0,50.0,70,14.0,70,0,0,4,0.35714285714285715,0.0,0,0.0,0,0.0,0.0,0.0,64.5,8.5
10,50.0,55.0,70,14.0,68,2,0,4,0.32857142857142857,0.0,0,0.0,0,0.0,0.0,0.0,64.0,8.500420157682964
11,55.0,60.0,72,14.4,70,2,0,4,0.3472222222222222,0.0,0,0.0,0,0.0,0.0,0.0,64.01388888888889,8.50080560815587
