win_index,t_start,t_end,n_pkts,pkts_per_s,fc3,fc6,fc16,n_flows,top_flow_share,fc6_addr_entropy,fc6_addr_distinct,fc16_addr_entropy,fc16_addr_distinct,fc16_qty_mean,fc16_qty_std,fc16_qty_max,frame_len_mean,frame_len_std
0,0.0,5.0,718,143.6,716,2,0,6,0.44986072423398327,0.0,0,0.0,0,0.0,0.0,0.0,64.07520891364902,8.512970500306283
1,5.0,10.0,722,144.4,720,2,0,6,0.4487534626038781,0.0,0,0.0,0,0.0,0.0,0.0,64.05263157894737,8.513147726342247
2,10.0,15.0,720,144.0,716,4,0,6,0.4486111111111111,0.0,0,0.0,0,0.0,0.0,0.0,64.02777777777777,8.511874421820304
3,15.0,20.0,716,143.2,716,0,0,6,0.45251396648044695,0.0,0,0.0,0,0.0,0.0,0.0,64.09776536312849,8.514131895488381
4,20.0,25.0,714,142.8,714,0,0,6,0.4523809523809524,0.0,0,0.0,0,0.0,0.0,0.0,64.1218487394958,8.513821285690883
5,25.0,30.0,716,143.2,714,2,0,6,0.4511173184357542,0.0,0,0.0,0,0.0,0.0,0.0,64.07402234636872,8.512977016031375
6,30.0,35.0,718,143.6,716,2,0,6,0.44986072423398327,0.0,0,0.0,0,0.0,0.0,0.0,64.05013927576601,8.513155065708734
7,35.0,40.0,724,144.8,720,4,0,6,0.44751381215469616,0.0,0,0.0,0,0.0,0.0,0.0,64.0303867403315,8.51188083328498
8,40.0,45.0,722,144.4,720,2,0,6,0.4487534626038781,0.0,0,0.0,0,0.0,0.0,0.0,64.05263157894737,8.513147726342247
9,45.0,50.0,712,142.4,712,0,0,6,0.45365168539325845,0.0,0,0.0,0,0.0,0.0,0.0,64.12078651685393,8.513836421810486
10,50.0,55.0,720,144.0,718,2,0,6,0.4486111111111111,0.0,0,0.0,0,0.0,0.0,0.0,64.07638888888889,8.512963856762378
11,55.0,60.0,710,142.0,708,2,0,6,0.45211267605633804,0.0,0,0.0,0,0.0,0.0,0.0,64.04507042253522,8.51316774150732
